address,nftBalance,holdingSince
0x028f4dba9716fb36c2f4dd8caa8de221a5d5815a,3,1754477242
0x11d9deaa603081f0481fff5a25ebc8b2ef6318a8,1,1769904418
0x2691fa3c636c667870c740bdaf09866034018a0e,6,1754477226
0x2a65f737b3ab50b9239d60084d48a377f58447b6,2,1755261094
0x4eb54bfc0d280a164fcada8ade3477c8b93b1dee,1,1753872788
0x55296ae1c0114a4c20e333571b1dbd40939c80a3,1,1769904526
0x5953c8d34379c5d979bb2652408f978f0e914a6a,6,1761716353
0x59be6a62c05377183c0ccbbaeade523a76b1a793,2,1754894148
0x5ab2d59849a91484ab35312121e8a47a494d1622,4,1753739866
0x5c778b8047d0282c3ea140a741f1fd9e5e7afcac,1,1756911010
0x81379aadfa9de591fa5469b954a6edc6787df494,2,1753699693
0x8325d4a009a72fdf92a6e741b235fc701bf4136f,2,1753674035
0x8e927b26d6698775b79557df00539d4b74911021,11,1761716332
0xa8ea8d99319b14c8f5851f8f8dc96506aff18f35,2,1753674067
0xbd39dc758bb75fdd27155606e9615ce35614765a,3,1754490122
0xcc99044cc3ff41cdbfadee51d552185e71087c07,1,1754492219
0xcdfab1d15f56f57bb6e990ec65b29af32ab55ff5,3,1753673696
0xe1c3fa2b282fcee35b38a40ba8aaab938d32d9b1,31,1761202783
0xe453656fd35d4c957388022c181d736d33faddd7,1,1754487610
0xee5e3173aba50a2eec7e46c72a8db711e804b522,3,1753798412
0xfcd0b0444ee3cd937b7b56a50e80a27dc6f01a46,4,1765282422
0xfd008c8704bb4c3361fcf95697e3107622e7485a,3,1754484552
