day,timestamp,action,actor,amount,rewardRatePioneersScaled,rewardRateTakadaoScaled,periodFinish,revenuePerNftOwnedByPioneers,takadaoRevenueScaled,totalSupply,balanceOfActor,earnedViewBefore,approvedDeposits
0,1,MINT,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,50,0,0,0,0,0,50,50,0,0
0,1,MINT,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,30,0,0,0,0,0,80,30,0,0
0,1,MINT,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,18,0,0,0,0,0,98,18,0,0
0,1,MINT,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,7,0,0,0,0,0,105,7,0,0
0,1,MINT,0x949e63296823174a1d244FfbC90EC87d75C40936,25,0,0,0,0,0,130,25,0,0
0,1,MINT,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,12,0,0,0,0,0,142,12,0,0
0,1,MINT,0x5F51853276D59b6C99D2042B16B92861C52542d1,9,0,0,0,0,0,151,9,0,0
0,1,MINT,0x19e119167095b4F035A906eAFBb66d733545E208,4,0,0,0,0,0,155,4,0,0
0,1,MINT,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,33,0,0,0,0,0,188,33,0,0
0,1,MINT,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,21,0,0,0,0,0,209,21,0,0
1,86401,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,500000000,144675925925925925925,48225308641975308641,2678401,0,0,209,0,0,500000000
2,172801,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,700000000,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,0,0,1200000000
2,172801,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,2990430,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,50,2990430,1197009570
2,172801,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,1794258,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,30,1794258,1195215312
2,172801,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,1076555,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,18,1076555,1194138757
2,172801,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,418660,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,7,418660,1193720097
2,172801,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,1495215,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,25,1495215,1192224882
2,172801,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,717703,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,12,717703,1191507179
2,172801,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,538277,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,9,538277,1190968902
2,172801,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,239234,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,4,239234,1190729668
2,172801,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,1973684,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,33,1973684,1188755984
2,172801,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,1255980,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,21,1255980,1187500004
2,172801,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,4166666,342399691358024691357,114133230452674897118,2764801,59808612440191387559425,4166666666666666666582400,209,0,4166666,1183333338
3,259201,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,1000000000,620338220164609053496,206779406721536351164,2851201,201355661881977671450548,14027777777777777777577600,209,0,0,2183333338
4,345601,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,800000000,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,0,0,2983333338
4,345601,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,19899654,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,50,19899654,2963433684
4,345601,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,11939792,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,30,11939792,2951493892
4,345601,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,7163875,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,18,7163875,2944330017
4,345601,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,2785951,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,7,2785951,2941544066
4,345601,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,9949827,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,25,9949827,2931594239
4,345601,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,4775917,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,12,4775917,2926818322
4,345601,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,3581937,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,9,3581937,2923236385
4,345601,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,1591972,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,4,1591972,2921644413
4,345601,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,13133771,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,33,13133771,2908510642
4,345601,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,8357854,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,21,8357854,2900152788
